,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
3526,2004,Perodua,Kenari,Used,Automatic,1,2018,132500,11888
3527,2006,Perodua,Kenari,Used,Automatic,1,2018,122500,16888
3528,2005,Perodua,Kancil,Used,Manual,0.8,2018,97500,8800
3529,2008,Perodua,Myvi,Used,Manual,1.3,2018,72500,22800
3530,2006,Perodua,Myvi,Used,Automatic,1.3,2018,82500,17800
3531,2005,Perodua,Kenari,Used,Automatic,1,2018,122500,10900
3532,2005,Perodua,Kenari,Used,Automatic,1,2018,122500,14800
3533,2009,Perodua,Viva,Used,Manual,1,2018,87500,12900
3534,2008,Perodua,Viva,Used,Automatic,1,2018,62500,15900
3535,2011,Perodua,Myvi,Used,Automatic,1.3,2018,97500,22900
3536,2008,Perodua,Myvi,Used,Automatic,1.3,2018,62500,21800
3537,2012,Perodua,Viva,Used,Manual,0.8,2018,32500,16300
3538,2014,Perodua,Myvi,Used,Automatic,1.3,2018,27500,31800
3539,2011,Perodua,Viva,Used,Manual,1,2018,52500,15800
3540,2013,Perodua,Myvi,Used,Automatic,1.5,2018,67500,37888
3541,2004,Perodua,Kancil,Used,Automatic,0.8,2018,102500,11800
3542,2010,Perodua,Alza,Used,Manual,1.5,2018,52500,31500
3543,2002,Perodua,Kelisa,Used,Automatic,1,2018,102500,11888
3544,2004,Perodua,Kelisa,Used,Automatic,1,2018,102500,14388
3545,2012,Perodua,Alza,Used,Automatic,1.5,2018,32500,40888
3546,2002,Perodua,Kenari,Used,Automatic,1,2018,132500,10888
3547,2013,Perodua,Myvi,Used,Automatic,1.5,2018,32500,43800
3548,2012,Perodua,Alza,Used,Automatic,1.5,2018,67500,40300
3549,2012,Perodua,Myvi,Used,Automatic,1.5,2018,52500,40300
3550,2009,Perodua,Viva,Used,Automatic,1,2018,87500,17700
3551,2013,Perodua,Myvi,Used,Automatic,1.5,2018,52500,42800
3552,2011,Perodua,Alza,Used,Automatic,1.5,2018,67500,32850
3553,2012,Perodua,Myvi,Used,Manual,1.3,2018,47500,26850
3554,2008,Perodua,Myvi,Used,Automatic,1.3,2018,67500,18850
