,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
2324,2016,Perodua,Myvi,Used,Automatic,1.5,82499.5,29800.0
2325,2012,Mercedes,Benz,Used,Automatic,1.8,124999.5,38800.0
2326,2017,(2017)Hyundai,Grand,Used,Automatic,2.5,72499.5,55999.0
2327,2022,Perodua,Myvi,Used,Automatic,1.5,7499.5,49800.0
2328,2017,Proton,Persona,Used,Automatic,1.6,97499.5,19900.0
2329,2018,Toyota,C-Hr,Used,Automatic,1.8,67499.5,79800.0
2330,2012,Hyundai,Starex,Used,Automatic,2.5,87499.5,37800.0
2331,2018,1,Year,Used,Automatic,2.5,114999.5,54800.0
2332,2021,Honda,Hr-V,Used,Automatic,1.8,42499.5,76800.0
2333,2014,(2014)Toyota,Vios,Used,Automatic,1.5,87499.5,23999.0
2334,2018,Mazda,2,Used,Automatic,1.5,72499.5,49800.0
2335,2014,Peugeot,208,Used,Automatic,1.6,87499.5,13800.0
2336,2022,Honda,City,Used,Automatic,1.5,82499.5,70800.0
2337,2010,Toyota,Estima,Used,Automatic,2.4,104999.5,49800.0
2338,2021,Toyota,Corolla,Recon,Automatic,1.2,7499.5,148000.0
2339,2018,Nissan,Navara,Used,Automatic,2.5,144999.5,39900.0
2340,2009,Honda,Civic,Used,Automatic,1.8,124999.5,26999.0
2341,2019,Bmw,330I,Used,Automatic,2.0,92499.5,152000.0
2342,2019,Mercedes,Benz,Recon,Automatic,2.0,42499.5,168000.0
2343,2013,Ford,Focus,Used,Automatic,2.0,114999.5,16800.0
2344,2019,Toyota,Estima,Used,Automatic,2.4,47499.5,153800.0
2345,2012,Perodua,Viva,Used,Automatic,1.0,52499.5,12800.0
2346,2019,[24000Km]MERCEDES,E200,Recon,Automatic,2.0,22499.5,242000.0
2347,2020,Perodua,Aruz,Used,Automatic,1.5,47499.5,51800.0
2348,2021,LEXUS,Rx300,Recon,Automatic,2.0,12499.5,279000.0
2349,2007,Mercedes,Benz,Used,Automatic,1.8,2499.5,22800.0
2350,2015,ORI,15/16,Used,Automatic,1.4,92499.5,24999.0
2351,2013,Honda,Civic,Used,Automatic,1.8,42499.5,30800.0
2352,2020,Bmw,740Le,Used,Automatic,3.0,57499.5,219800.0
2353,2020,Toyota,Vios,Used,Automatic,1.5,72499.5,49900.0
2354,2022,Toyota,Alphard,Recon,Automatic,2.5,17499.5,229000.0
2355,2023,Lexus,Nx350,Recon,Automatic,2.4,17499.5,325000.0
2356,2017,Honda,Civic,Used,Automatic,1.5,144999.5,888888.0
