,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
1366,2016,Perodua,Axia,Used,Automatic,998,104999.5,22999
1367,2014,Perodua,Myvi,Used,Automatic,1298,134999.5,15800
1368,2015,Mercedes,Benz,Used,Automatic,1991,134999.5,69800
1369,2019,Porsche,Macan,Recon,Automatic,1984,22499.5,263000
1370,2015,Porsche,911,Used,Automatic,3799,17499.5,850888
1371,2023,Honda,Civic,Recon,Automatic,1995,2499.5,277000
1372,2009,Ferrari,F430,Used,Automatic,4308,22499.5,488888
1373,2015,Honda,City,Used,Automatic,1497,97499.5,29990
1374,2020,Mercedes,Benz,Recon,Automatic,1331,12499.5,212000
1375,2020,Mercedes,Benz,Recon,Automatic,1331,12499.5,169000
1376,2008,Volkswagen,Beetle,Used,Automatic,1595,144999.5,20800
1377,2010,Perodua,Alza,Used,Automatic,1495,164999.5,17800
1378,2019,Toyota,Camry,Used,Automatic,1998,52499.5,83999
1379,2017,2021,Porsche,Used,Automatic,2981,37499.5,609800
1380,2016,Honda,City,Used,Automatic,1497,72499.5,38800
1381,2006,Honda,Cr-V,Used,Automatic,1998,194999.5,17800
1382,2018,Honda,Jazz,Used,Automatic,1497,92499.5,59800
1383,2014,Bmw,320I,Used,Automatic,1997,144999.5,38888
1384,2022,Proton,X70,Used,Automatic,1799,62499.5,63800
1385,2018,Toyota,Alphard,Used,Automatic,2493,87499.5,179800
1386,2021,Land,Rover,Recon,Automatic,1995,7499.5,358000
1387,2016,Mitsubishi,Asx,Used,Automatic,1998,72499.5,43999
1388,2019,Kia,Grand,Used,Automatic,2199,62499.5,95999
1389,2014,/17,Isuzu,Used,Automatic,2499,114999.5,54999
1390,2016,Honda,Hr-V,Used,Automatic,1799,104999.5,49800
1391,2021,Mazda,3,Used,Automatic,1998,62499.5,119800
1392,2017,Mazda,3,Used,Automatic,1998,124999.5,60800
1393,2016,Honda,Hr-V,Used,Automatic,1799,77499.5,39900
