,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
89,2019/2022,Toyota,Alphard,used,Automatic,2.5,47500.0,239800.0
90,2014,Mercedes-Benz,CLA200,used,Automatic,1.6,122500.0,83800.0
91,2015,Honda,CR-V,used,Automatic,2.4,122500.0,65800.0
92,2017/2022,Mercedes-Benz,G350,used,Automatic,3.0,22500.0,438800.0
93,2018,Toyota,Hilux,used,Automatic,2.4,72500.0,85800.0
94,2016/2018,nan,,used,Automatic,5.7,67500.0,378800.0
95,2019,BMW,330e,used,Automatic,2.0,92500.0,93800.0
96,2015,Nissan,X-Trail,used,Automatic,2.5,102500.0,43800.0
97,2017,Toyota,Camry,used,Automatic,2.0,82500.0,91800.0
98,2014,Kia,Cerato,used,Automatic,1.6,132500.0,27800.0
99,2013,Mazda,6,used,Automatic,2.0,137500.0,38800.0
100,2015,Honda,City,used,Automatic,1.5,117500.0,38800.0
101,2013,BMW,328i,used,Automatic,2.0,127500.0,69888.0
102,2014,BMW,X6,used,Automatic,3.0,72500.0,84888.0
103,2014,Honda,Accord,used,Automatic,2.4,127500.0,49800.0
104,2014,Mazda,6,used,Automatic,2.5,97500.0,45800.0
105,2014,Toyota,Harrier,used,Automatic,2.0,92500.0,99888.0
106,2019,Mazda,6,used,Automatic,2.5,107500.0,110800.0
107,2022,Volkswagen,Tiguan,used,Automatic,1.4,62500.0,135800.0
108,2013/2018,Mercedes-Benz,CLA250,used,Automatic,2.0,92500.0,91800.0
109,2018,Mercedes-Benz,C180,used,Automatic,1.6,67500.0,155800.0
110,2017,BMW,330e,used,Automatic,2.0,137500.0,78800.0
111,2017,Mercedes-Benz,E250,used,Automatic,2.0,102500.0,175800.0
112,2019,BMW,X1,used,Automatic,2.0,67500.0,125800.0
113,2017/2022,Toyota,Alphard,used,Automatic,2.5,72500.0,196800.0
114,2015/2021,Toyota,Alphard,used,Automatic,2.5,97500.0,186800.0
115,2019/2020,nan,,used,Automatic,2.0,107500.0,109900.0
116,2020,nan,,used,Automatic,2.8,12500.0,298000.0
117,2022,Toyota,Land Cruiser,used,Automatic,3.3,7500.0,588000.0
118,2020,Toyota,Harrier,used,Automatic,2.0,27500.0,198000.0
119,2021,Toyota,Vellfire,used,Automatic,2.5,27500.0,236000.0
120,2019,Toyota,Vellfire,used,Automatic,3.5,42500.0,308000.0
121,2013,Mazda,CX-5,used,Automatic,2.0,127500.0,41800.0
122,2015,BMW,X3,used,Automatic,2.0,82500.0,75888.0
123,2016/2020,Mercedes-Benz,A180,used,Automatic,1.6,72500.0,99888.0
124,2013/2014,Mitsubishi,Triton,used,Automatic,2.5,142500.0,44800.0
125,2019,Mercedes-Benz,GLA200,used,Automatic,1.6,87500.0,136800.0
126,2018,Mercedes-Benz,C180,used,Automatic,1.6,92500.0,115900.0
127,2016,Nissan,X-Trail,used,Automatic,2.5,92500.0,42999.0
128,2014/2015,Kia,Rio,used,Automatic,1.4,77500.0,22999.0
129,2012,BMW,528i,used,Automatic,2.0,107500.0,65800.0
130,2020,nan,,used,Automatic,3.0,17500.0,329800.0
131,2018/2019,Mercedes-Benz,C43 AMG,used,Automatic,3.0,42500.0,213800.0
132,2015,BMW,428i,used,Automatic,2.0,47500.0,135800.0
133,2013,nan,,used,Automatic,2.2,97500.0,35800.0
134,2020,Mazda,CX-5,used,Automatic,2.0,107500.0,105800.0
135,2017,Mercedes-Benz,A200,used,Automatic,1.6,77500.0,101800.0
136,2019,BMW,330e,used,Automatic,2.0,92500.0,93800.0
137,2017,Toyota,Innova,used,Automatic,2.0,97500.0,71800.0
138,2017,BMW,330e,used,Automatic,2.0,112500.0,73800.0
139,2018,Mercedes-Benz,C350 e,used,Automatic,2.0,137500.0,110800.0
140,2015,Hyundai,Grand Starex,used,Automatic,2.5,127500.0,66800.0
141,2013,nan,,used,Automatic,2.2,112500.0,35800.0
142,2017,Toyota,Camry,used,Automatic,2.5,112500.0,76800.0
143,2014,BMW,520i,used,Automatic,2.0,132500.0,73800.0
144,2019,Honda,City,used,Automatic,1.5,52500.0,56800.0
145,2017,Honda,Civic,used,Automatic,1.8,92500.0,76800.0
146,2015,Honda,HR-V,used,Automatic,1.8,97500.0,50800.0
147,2016,Mazda,CX-5,used,Automatic,2.5,82500.0,65800.0
148,2016,Honda,CR-V,used,Automatic,2.0,92500.0,63800.0
149,2019/2020,Mercedes-Benz,GLA200,used,Automatic,1.6,62500.0,137999.0
150,2016/2020,Mercedes-Benz,CLA250,used,Automatic,2.0,82500.0,122999.0
151,2018/2019,nan,,used,Automatic,2.0,82500.0,149999.0
152,2016/2019,Mercedes-Benz,C300,used,Automatic,2.0,72500.0,169999.0
153,2014,Audi,Q5,used,Automatic,2.0,112500.0,50800.0
154,2016/2017,Mercedes-Benz,C300,used,Automatic,2.0,92500.0,135900.0
155,2017,Mitsubishi,Triton,used,Automatic,2.4,82500.0,76800.0
156,2016,Peugeot,3008,used,Automatic,1.6,77500.0,25800.0
157,2014,MINI,Countryman,used,Automatic,1.6,112500.0,67800.0
158,2013,Toyota,Rush,used,Automatic,1.5,107500.0,29800.0
159,2013,nan,,used,Automatic,1.8,127500.0,25800.0
160,2016,Audi,A4,used,Automatic,2.0,82500.0,109800.0
161,2013,Toyota,Prius C,used,Automatic,1.5,137500.0,28800.0
162,2017,BMW,530i,used,Automatic,2.0,92500.0,158800.0
163,2016,BMW,318i,used,Automatic,1.5,97500.0,69800.0
164,2019,BMW,X3,used,Automatic,2.0,82500.0,169800.0
165,2013,Mercedes-Benz,B200,used,Automatic,1.6,127500.0,48000.0
166,2015/2016,Honda,HR-V,used,Automatic,1.8,112500.0,54800.0
167,2017,Toyota,Vios,used,Automatic,1.5,72500.0,51000.0
168,2014,BMW,528i,used,Automatic,2.0,97500.0,98000.0
169,2013,Audi,A4,used,Automatic,2.0,97500.0,49800.0
170,2013,nan,,used,Automatic,1.8,147500.0,44800.0
171,2016,Mercedes-Benz,E200,used,Automatic,2.0,87500.0,141800.0
172,2017,Mercedes-Benz,C350 e,used,Automatic,2.0,77500.0,96800.0
173,2016/2017,Mercedes-Benz,CLA180,used,Automatic,1.6,107500.0,124800.0
174,2018,BMW,330e,used,Automatic,2.0,112500.0,89800.0
175,2015,Mercedes-Benz,CLA200,used,Automatic,1.6,107500.0,103800.0
176,2017,Mazda,CX-5,used,Automatic,2.0,102500.0,69800.0
177,2017,BMW,530i,used,Automatic,2.0,107500.0,158800.0
178,2017,Honda,Accord,used,Automatic,2.0,142500.0,82800.0
179,2018,BMW,X3,used,Automatic,2.0,147500.0,145800.0
180,2019,BMW,330i,used,Automatic,2.0,72500.0,189800.0
181,2019,BMW,520i,used,Automatic,2.0,77500.0,189800.0
182,2014,Mercedes-Benz,C250,used,Automatic,2.0,107500.0,109888.0
183,2020,nan,,used,Automatic,2.0,57500.0,268000.0
184,2014,Toyota,Vios,used,Automatic,1.5,92500.0,36800.0
185,2013,Kia,Cerato,used,Automatic,1.6,107500.0,26800.0
186,2018,Nissan,Navara,used,Automatic,2.5,127500.0,72800.0
187,2015,Nissan,Serena,used,Automatic,2.0,137500.0,51800.0
188,2015,Nissan,Teana,used,Automatic,2.0,72500.0,45999.0
189,2020/2021,BMW,X6,used,Automatic,3.0,17500.0,538800.0
190,2021,Toyota,Harrier,used,Automatic,2.0,17500.0,208000.0
191,2020,Audi,Q7,used,Automatic,3.0,27500.0,438000.0
192,2020,Audi,Q7,used,Automatic,3.0,42500.0,438000.0
193,2013,Honda,Accord,used,Automatic,2.4,117500.0,49800.0
194,2017,nan,,used,Automatic,5.0,47500.0,650000.0
195,2017,Honda,Civic,used,Automatic,1.8,132500.0,72800.0
196,2013,Volkswagen,Passat,used,Automatic,1.8,77500.0,25800.0
197,2014/2016,Toyota,Harrier,used,Automatic,2.0,87500.0,92999.0
198,2018,BMW,X3,used,Automatic,2.0,57500.0,159800.0
199,2016,BMW,318i,used,Automatic,1.5,97500.0,69800.0
200,2016,Mazda,CX-3,used,Automatic,2.0,87500.0,61800.0
201,2016,Volvo,XC90,used,Automatic,2.0,82500.0,139900.0
202,2013,MINI,Countryman,used,Automatic,1.6,97500.0,65800.0
203,2015,Honda,Jazz,used,Automatic,1.5,87500.0,51800.0
204,2017,Honda,Civic,used,Automatic,1.8,92500.0,75800.0
205,2018,Perodua,AXIA,used,Automatic,1.0,147500.0,27800.0
206,2019,MINI,3 Door,used,Automatic,2.0,42500.0,178800.0
207,2016,Honda,HR-V,used,Automatic,1.8,77500.0,56800.0
208,2014,Honda,Jazz,used,Automatic,1.5,97500.0,49800.0
209,2015,Toyota,Corolla Altis,used,Automatic,1.8,92500.0,55800.0
210,2020,Proton,Iriz,used,Automatic,1.6,57500.0,35800.0
211,2014,Toyota,Vios,used,Automatic,1.5,132500.0,39800.0
212,2015,BMW,X3,used,Automatic,2.0,142500.0,75800.0
213,2016,Honda,Accord,used,Automatic,2.0,107500.0,78800.0
214,2019,Honda,HR-V,used,Automatic,1.8,32500.0,83500.0
215,2017,Toyota,Hilux,used,Automatic,2.4,52500.0,93888.0
216,2013,Peugeot,408,used,Automatic,2.0,102500.0,10800.0
217,2014,Honda,Civic,used,Automatic,1.5,127500.0,24800.0
218,2019,Nissan,Serena,used,Automatic,2.0,68476.0,89900.0
219,2013,Mercedes-Benz,E250,used,Automatic,2.0,122500.0,81800.0
220,2014,BMW,X1,used,Automatic,2.0,77500.0,54800.0
