,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,year_extracted,old_price
3033,2012,Honda,Civic,Used,Automatic,1.8,67499.5,2025,44875
3034,2018,Honda,Civic,Used,Automatic,1.5,82499.5,2025,91800
3035,2013,Toyota,Vios,Used,Automatic,1.5,114999.5,2025,39800
3036,2019,Honda,Cr-V,Used,Automatic,1.5,72499.5,2025,101800
3037,2023,Lexus,Rx350,Recon,Automatic,2.4,22499.5,2025,418800
3038,2014,Honda,City,Used,Automatic,1.5,82499.5,2025,35888
3039,2019,Honda,Jazz,Used,Automatic,1.5,97499.5,2025,56800
3040,2021,Honda,City,Used,Automatic,1.5,62499.5,2025,63800
3041,2017,Mercedes,,Used,Automatic,2,52499.5,2025,139800
3042,2016,Mercedes,,Used,Automatic,2,77499.5,2025,85800
3045,2015,Perodua,Myvi,Used,Automatic,1.3,114999.5,2025,24900
3046,2015,Land,Rover,Used,Automatic,2,104999.5,2025,92800
3047,2013,Proton,Suprima,Used,Automatic,1.6,184999.5,2025,16800
3048,2010,Proton,Persona,Used,Automatic,1.6,174999.5,2025,10800
3049,2014,Perodua,Myvi,Used,Automatic,1.3,154999.5,2025,22800
3050,2015,Volkswagen,Polo,Used,Automatic,1.6,154999.5,2025,19800
3052,2024,Isuzu,D-Max,New,Automatic,1.9,2499.5,2025,133350
3053,2011,Nissan,Grand,Used,Automatic,1.8,104999.5,2025,12800
3054,2014,Mazda,Cx-5,Used,Automatic,2.5,87499.5,2025,41800
3059,2017,Honda,Civic,Used,Automatic,1.5,72499.5,2025,79800
3060,2018,Toyota,Avanza,Used,Automatic,1.5,134999.5,2025,44800
3061,2013,Toyota,Vios,Used,Automatic,1.5,87499.5,2025,25800
3062,2019,Mercedes,,Recon,Automatic,2,32499.5,2025,228000
3063,2017,Honda,City,Used,Automatic,1.5,62499.5,2025,43800
3064,2018,Honda,Civic,Used,Automatic,1.8,104999.5,2025,69800
3065,2024,Isuzu,D-Max,New,Automatic,1.9,2499.5,2025,102200
3066,2013,Honda,City,Used,Automatic,1.5,97499.5,2025,24800
3067,2021,Perodua,Myvi,Used,Automatic,1.3,32499.5,2025,36800
3068,2013,Mazda,CR-V,Used,Automatic,2,92499.5,2025,37800
3069,2013,Mercedes,,Used,Automatic,1.8,194999.5,2025,35800
3070,2018,Honda,City,Used,Automatic,1.5,184999.5,2025,43100
3071,2008,Mitsubishi,Triton,Used,Automatic,2.5,164999.5,2025,25800
3072,2016,Proton,Preve,Used,Automatic,1.6,87499.5,2025,20999
3073,2016,Honda,City,Used,Automatic,1.5,97499.5,2025,43999
3074,2010,Bmw,X6,Used,Automatic,3,104999.5,2025,41900
3075,2014,Toyota,Corolla,Used,Automatic,2,92499.5,2025,39999
3076,2014,Honda,City,Used,Automatic,1.5,97499.5,2025,36999
3077,2019,Proton,X70,Used,Automatic,1.8,52499.5,2025,57800
3078,2025,Perodua,Axia,New,Automatic,1,2499.5,2025,38380
3079,2018,Mazda,3,Used,Automatic,2,47499.5,2025,66800
3080,2015,Subaru,Xv,Used,Automatic,2,97499.5,2025,33800
3081,2013,Perodua,Myvi,Used,Automatic,1.3,104999.5,2025,21999
3082,2015,Nissan,Serena,Used,Automatic,2,144999.5,2025,38600
3083,2020,Nissan,Serena,Used,Automatic,2,62499.5,2025,85000
3084,2012,Perodua,Alza,Used,Automatic,1.5,124999.5,2025,17800
3085,2019,Honda,Cr-V,Used,Automatic,2,77499.5,2025,79800
3086,2018,Mercedes,,Used,Automatic,1.3,62499.5,2025,123800
3087,2018,Honda,City,Used,Automatic,1.5,82499.5,2025,46800
3088,2004,Toyota,Vios,Used,Automatic,1.5,274999.5,2025,12888
3089,2016,Ford,Ranger,Used,Automatic,2.2,87499.5,2025,51800
3090,2018,Toyota,Corolla,Used,Automatic,1.8,97499.5,2025,66800
3091,2017,Honda,City,Used,Automatic,1.5,92499.5,2025,55800
3092,2013,Perodua,Viva,Used,Automatic,1,92499.5,2025,8888
3093,2022,Honda,City,Used,Automatic,1.5,37499.5,2025,72800
3094,2021,Toyota,Yaris,Used,Automatic,1.5,57499.5,2025,62800
3095,2021,Toyota,Alphard,Used,Automatic,2.5,17499.5,2025,224800
3096,2020,Nissan,Serena,Used,Automatic,2,57499.5,2025,89800
3097,2016,Kia,Sportage,Used,Automatic,2,104999.5,2025,47800
3098,2014,Perodua,Myvi,Used,Automatic,1.5,92499.5,2025,26800
3099,2013,Mercedes,,Used,Automatic,1.8,52499.5,2025,38800
3100,2019,Honda,Full,Used,Automatic,1.5,72499.5,2025,49800
3101,2002,Perodua,Kembara,Used,Automatic,1.3,224999.5,2025,8800
3102,2020,Toyota,Yaris,Used,Automatic,1.5,32499.5,2025,56500
3103,2020,Mercedes,,Recon,Automatic,2,17499.5,2025,164000
3105,2018,Hyundai,Grand,Used,Automatic,2.5,62499.5,2025,76913
3106,2019,Bmw,X5,Used,Automatic,2,57499.5,2025,115800
3107,2019,Bmw,X52.0,Used,Automatic,2,67499.5,2025,116800
3108,2019,Bmw,530E,Used,Automatic,2,67499.5,2025,102800
3109,2016,Bmw,328I,Used,Automatic,2,67499.5,2025,78800
3110,2012,Proton,Exora,Used,Automatic,1.6,154999.5,2025,14600
3111,2016,Honda,City,Used,Automatic,1.5,144999.5,2025,38600
3113,2019,Toyota,Harrier,Recon,Automatic,2,62499.5,2025,121000
3114,2019,Toyota,Yaris,Used,Automatic,1.5,67499.5,2025,56500
